CAMIS,DBA,Lat,Lng,Cuisine,Grade
50056256,MINUS CELSIUS ICE CREAM,40.7175391,-73.9914613,"Ice Cream, Gelato, Yogurt, Ices",A
41389304,JOHAL DELI,40.7994219,-73.9624065,Pakistani,B
50067176,DR SMOOD,40.7540485,-73.9739991,CoffeeTea,A
41098178,SACRED CHOW,40.729616,-73.99949,Vegetarian,A
50002767,THE SKYLARK,40.7542968,-73.988999,American,A
41408521,DUNKIN' DONUTS,40.7620949,-73.9901765,Donuts,A
41236466,DUNKIN' DONUTS,40.6288048,-74.0226123,Donuts,A
50004146,CRYSTAL'S RESTAURANT,40.7498221,-73.8662119,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
41610749,MUDSPOT,40.7291106,-73.9866336,American,A
50051885,CREPES MEETS BUBBLE TEA,40.6707363,-73.98457,CoffeeTea,A
50044470,NYONYA,40.719002,-73.9970266,Asian,A
41664437,BOCADO CAFE,40.7802371,-73.9548923,American,A
50070741,TEADORA,40.62974,-74.009958,"Juice, Smoothies, Fruit Salads",A
40734506,JOHN HUGHES KNIGHTS OF COLUMBUS CLUB,40.6142233,-74.0134599,American,A
41696374,CRC CAFE,40.7694491,-73.951862,American,A
50012225,APPLEBEE'S,40.8227033,-73.8366976,American,A
50007468,TRIPLE 8 RESTAURANT,40.8157626,-73.9074073,Chinese,A
50038353,TOWERS RESTAURANT AND CATERING,40.7589566,-73.7175121,Continental,C
41380672,DON BURRITO RESTAURANT,40.6354749,-73.9627089,Tex-Mex,A
40573412,THE TRIAD,40.778024,-73.9809935,American,A
41382858,TACO VELOZ,40.7483431,-73.8760467,Mexican,A
50054878,POKEE,40.73069,-74.0003498,Hawaiian,B
40423654,HUNGARIAN PASTRY SHOP,40.8034849,-73.9637498,Eastern European,A
41567580,V.I.P. CLUB,40.757583,-73.7148445,American,A
41623174,NEW CHAMPION WOK,40.7550744,-73.9443007,Chinese,A
41462542,SCOTTADITO,40.674742,-73.9765249,Italian,A
40393243,BUDDY'S BURRITO & TACO BAR,40.6852749,-73.9948252,Tex-Mex,B
